id,description,hierarchy_levels,type
7bf0c60a-9303-414b-a43c-21c28a98d4ff,geographical journeys,"[['K', 'K05', 'K053', 'K0532']]",altLabels
7bf0c60a-9303-414b-a43c-21c28a98d4ff,geographical directions,"[['K', 'K05', 'K053', 'K0532']]",altLabels
7bf0c60a-9303-414b-a43c-21c28a98d4ff,geographical passages,"[['K', 'K05', 'K053', 'K0532']]",altLabels
7bf4539a-3f2e-4485-876b-1c9306b181af,John The Ripper,"[['K', 'K06', 'K061', 'K0613']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,oxy-fueloline fuel fuel,"[['K', 'K07', 'K071', 'K0713']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,oxy-hydrogen fuel fuel,"[['K', 'K07', 'K071', 'K0713']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,oxy-acetylene fuel,"[['K', 'K07', 'K071', 'K0713']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,oxy-gasoline fuel gas,"[['K', 'K07', 'K071', 'K0713']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,oxy-acetylene fuel gas,"[['K', 'K07', 'K071', 'K0713']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,oxyacetylene gas,"[['K', 'K07', 'K071', 'K0713']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,fuel gas,"[['K', 'K07', 'K071', 'K0713']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,oxyacetylene fuel,"[['K', 'K07', 'K071', 'K0713']]",altLabels
7c127140-3a91-4fe2-b33e-12567d78ef0f,oxy-hydrogen fuel gas,"[['K', 'K07', 'K071', 'K0713']]",altLabels
