id,description,hierarchy_levels,type
79329ded-7ee7-45c5-a89c-85386473efef,a temperature scale,"[['K', 'K05', 'K053', 'K0533']]",altLabels
7976294b-215b-4310-a53f-5b0b5ee23d16,fermentation mechanisms of food,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7976294b-215b-4310-a53f-5b0b5ee23d16,fermentation systems of food,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7976294b-215b-4310-a53f-5b0b5ee23d16,fermentation of food processing,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7976294b-215b-4310-a53f-5b0b5ee23d16,fermentation procedures of food,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7976294b-215b-4310-a53f-5b0b5ee23d16,fermentation measures of food,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7976294b-215b-4310-a53f-5b0b5ee23d16,fermentation of food processed,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7976294b-215b-4310-a53f-5b0b5ee23d16,fermentation processes of food,"[['K', 'K07', 'K072', 'K0721']]",altLabels
7976294b-215b-4310-a53f-5b0b5ee23d16,the fermentation process of food,"[['K', 'K07', 'K072', 'K0721']]",altLabels
79a5bc25-5b59-47bc-a4c2-fb8e8cb1ddf6,smart grids,"[['K', 'K07', 'K071', 'K0713']]",altLabels
79a847c3-8312-4930-964a-282734c2789d,bodily fluid evaluation,"[['K', 'K09', 'K091', 'K0914']]",altLabels
79a847c3-8312-4930-964a-282734c2789d,bodily fluid study,"[['K', 'K09', 'K091', 'K0914']]",altLabels
79a847c3-8312-4930-964a-282734c2789d,bodily fluid analyses,"[['K', 'K09', 'K091', 'K0914']]",altLabels
79a847c3-8312-4930-964a-282734c2789d,bodily fluids analysis,"[['K', 'K09', 'K091', 'K0914']]",altLabels
79a847c3-8312-4930-964a-282734c2789d,bodily fluid assessment,"[['K', 'K09', 'K091', 'K0914']]",altLabels
79a847c3-8312-4930-964a-282734c2789d,bodily fluid analysis,"[['K', 'K09', 'K091', 'K0914']]",altLabels
79ecb6aa-a865-4444-9dfc-9f23232fdc45,interpreting inscriptions,"[['K', 'K02', 'K022', 'K0222']]",altLabels
79ecb6aa-a865-4444-9dfc-9f23232fdc45,study of epigraphs,"[['K', 'K02', 'K022', 'K0222']]",altLabels
